Date,Transaction Names,Transaction Type,Amount (INR)
02-01-2023,Software Engineer,Income,75000
12-01-2023,PVR Cinemas,Expense,1307
14-01-2023,Dream Apartment,Expense,28000
17-01-2023,Disney+ Hotstar,Expense,800
21-01-2023,Corner House,Expense,2330
22-01-2023,Cult.Fit,Expense,2301
23-01-2023,Electricity Bill,Expense,1500
24-01-2023,Website Design,Income,15000
29-01-2023,Big Bazaar,Expense,3132
29-01-2023,ACT Fibernet,Expense,1500
31-01-2023,Water Bill,Expense,500
02-02-2023,PVR Cinemas,Expense,1416
06-02-2023,Software Engineer,Income,75000
07-02-2023,Zee5,Expense,800
09-02-2023,Easyday,Expense,3440
10-02-2023,Dream Apartment,Expense,28000
10-02-2023,Electricity Bill,Expense,1500
11-02-2023,Water Bill,Expense,500
11-02-2023,Website Design,Income,15000
17-02-2023,Koshy's,Expense,3172
22-02-2023,Cult.Fit,Expense,2403
27-02-2023,ACT Fibernet,Expense,1500
01-03-2023,Software Engineer,Income,75000
01-03-2023,Dream Apartment,Expense,28000
04-03-2023,Website Design,Income,15000
06-03-2023,MTR 1924,Expense,3628
09-03-2023,Electricity Bill,Expense,1500
14-03-2023,PVR Cinemas,Expense,1025
20-03-2023,Reliance Fresh,Expense,3951
25-03-2023,ACT Fibernet,Expense,1500
26-03-2023,Cult.Fit,Expense,1932
27-03-2023,Disney+ Hotstar,Expense,800
30-03-2023,Water Bill,Expense,500
02-04-2023,Reliance Fresh,Expense,3622
10-04-2023,Electricity Bill,Expense,1500
11-04-2023,ACT Fibernet,Expense,1500
14-04-2023,Water Bill,Expense,500
14-04-2023,Cult.Fit,Expense,2378
15-04-2023,Software Engineer,Income,75000
15-04-2023,Website Design,Income,15000
17-04-2023,Netflix,Expense,800
23-04-2023,PVR Cinemas,Expense,1128
27-04-2023,Dream Apartment,Expense,28000
30-04-2023,Corner House,Expense,1657
01-05-2023,Cult.Fit,Expense,2464
04-05-2023,Dream Apartment,Expense,28000
07-05-2023,Barbecue Nation,Expense,3078
14-05-2023,Electricity Bill,Expense,1500
14-05-2023,Spencer's,Expense,3503
16-05-2023,Water Bill,Expense,500
18-05-2023,PVR Cinemas,Expense,1344
20-05-2023,Software Engineer,Income,75000
23-05-2023,Disney+ Hotstar,Expense,800
29-05-2023,Website Design,Income,15000
29-05-2023,ACT Fibernet,Expense,1500
05-06-2023,Software Engineer,Income,75000
08-06-2023,Dream Apartment,Expense,28000
08-06-2023,Disney+ Hotstar,Expense,800
10-06-2023,PVR Cinemas,Expense,1034
13-06-2023,Electricity Bill,Expense,1500
14-06-2023,Website Design,Income,15000
16-06-2023,ACT Fibernet,Expense,1500
23-06-2023,Easyday,Expense,3312
25-06-2023,Toit,Expense,3573
26-06-2023,Cult.Fit,Expense,2478
30-06-2023,Water Bill,Expense,500
01-07-2023,Software Engineer,Income,75000
01-07-2023,Electricity Bill,Expense,1500
02-07-2023,Dream Apartment,Expense,28000
11-07-2023,Water Bill,Expense,500
11-07-2023,Big Bazaar,Expense,2927
15-07-2023,Cult.Fit,Expense,1872
20-07-2023,The Permit Room,Expense,1770
22-07-2023,Zee5,Expense,800
23-07-2023,PVR Cinemas,Expense,1308
27-07-2023,Website Design,Income,15000
31-07-2023,ACT Fibernet,Expense,1500
02-08-2023,Electricity Bill,Expense,1500
03-08-2023,Dream Apartment,Expense,28000
16-08-2023,Foodworld,Expense,3272
17-08-2023,Cult.Fit,Expense,1993
21-08-2023,MTR 1924,Expense,2393
22-08-2023,ACT Fibernet,Expense,1500
23-08-2023,Website Design,Income,15000
24-08-2023,Software Engineer,Income,75000
24-08-2023,PVR Cinemas,Expense,1216
29-08-2023,Amazon Prime,Expense,800
31-08-2023,Water Bill,Expense,500
06-09-2023,Water Bill,Expense,500
08-09-2023,Cult.Fit,Expense,1823
11-09-2023,Zee5,Expense,800
