Transaction vs category,Transaction,Category
" Sure! Here are the expenses you provided, categorized into appropriate categories:"," Sure! Here are the expenses you provided, categorized into appropriate categories:",
,,
1. Disney+ Hotstar - Entertainment,1. Disney+ Hotstar,Entertainment
2. Software Engineer - Salary,2. Software Engineer,Salary
3. PVR Cinemas - Entertainment,3. PVR Cinemas,Entertainment
4. Dream Apartment - Housing,4. Dream Apartment,Housing
5. Corner House - Food/Dining,5. Corner House,Food/Dining
6. Cult.Fit - Fitness,6. Cult.Fit,Fitness
7. Electricity Bill - Utilities,7. Electricity Bill,Utilities
8. Website Design - Technology,8. Website Design,Technology
9. Big Bazaar - Grocery Shopping,9. Big Bazaar,Grocery Shopping
10. ACT Fibernet - Internet Service Provider,10. ACT Fibernet,Internet Service Provider
11. Water Bill - Utilities,11. Water Bill,Utilities
12. Zee5 - Entertainment,12. Zee5,Entertainment
13. Easyday - Grocery Shopping,13. Easyday,Grocery Shopping
14. Koshy's - Food/Dining,14. Koshy's,Food/Dining
15. MTR 1924 - Restaurant,15. MTR 1924,Restaurant
16. Reliance Fresh - Grocery Shopping,16. Reliance Fresh,Grocery Shopping
17. Netflix - Entertainment,17. Netflix,Entertainment
18. Barbecue Nation - Restaurant,18. Barbecue Nation,Restaurant
19. Spencer's - Gifts/Souvenirs,19. Spencer's,Gifts/Souvenirs
20. Toit - Food/Dining,20. Toit,Food/Dining
21. The Permit Room - Restaurant,21. The Permit Room,Restaurant
22. Foodworld - Grocery Shopping,22. Foodworld,Grocery Shopping
23. Amazon Prime - Entertainment,23. Amazon Prime,Entertainment
24. More Supermarket - Grocery Shopping,24. More Supermarket,Grocery Shopping
25. Truffles - Gifts/Souvenirs,25. Truffles,Gifts/Souvenirs
26. Chai Point - Food/Dining,26. Chai Point,Food/Dining
,,
I hope this helps! Let me know if you need any further assistance.,I hope this helps! Let me know if you need any further assistance.,
