Date,Transaction Names,Transaction Type,Amount (INR),Transaction vs category,Transaction,Category
02-01-2023,Software Engineer,Income,75000,2. Software Engineer - Salary,Software Engineer,Salary
12-01-2023,PVR Cinemas,Expense,1307,3. PVR Cinemas - Entertainment,PVR Cinemas,Entertainment
14-01-2023,Dream Apartment,Expense,28000,4. Dream Apartment - Housing,Dream Apartment,Housing
17-01-2023,Disney+ Hotstar,Expense,800,1. Disney+ Hotstar - Entertainment,Disney+ Hotstar,Entertainment
21-01-2023,Corner House,Expense,2330,5. Corner House - Food/Dining,Corner House,Food and Drinks
22-01-2023,Cult.Fit,Expense,2301,6. Cult.Fit - Fitness,Cult.Fit,Fitness
23-01-2023,Electricity Bill,Expense,1500,7. Electricity Bill - Utilities,Electricity Bill,Utilities
24-01-2023,Website Design,Income,15000,8. Website Design - Technology,Website Design,Technology
29-01-2023,Big Bazaar,Expense,3132,9. Big Bazaar - Grocery Shopping,Big Bazaar,Grocery Shopping
29-01-2023,ACT Fibernet,Expense,1500,10. ACT Fibernet - Internet Service Provider,ACT Fibernet,Internet Service Provider
31-01-2023,Water Bill,Expense,500,11. Water Bill - Utilities,Water Bill,Utilities
02-02-2023,PVR Cinemas,Expense,1416,3. PVR Cinemas - Entertainment,PVR Cinemas,Entertainment
06-02-2023,Software Engineer,Income,75000,2. Software Engineer - Salary,Software Engineer,Salary
07-02-2023,Zee5,Expense,800,12. Zee5 - Entertainment,Zee5,Entertainment
09-02-2023,Easyday,Expense,3440,13. Easyday - Grocery Shopping,Easyday,Grocery Shopping
10-02-2023,Dream Apartment,Expense,28000,4. Dream Apartment - Housing,Dream Apartment,Housing
10-02-2023,Electricity Bill,Expense,1500,7. Electricity Bill - Utilities,Electricity Bill,Utilities
11-02-2023,Water Bill,Expense,500,11. Water Bill - Utilities,Water Bill,Utilities
11-02-2023,Website Design,Income,15000,8. Website Design - Technology,Website Design,Technology
17-02-2023,Koshy's,Expense,3172,14. Koshy's - Food/Dining,Koshy's,Food and Drinks
22-02-2023,Cult.Fit,Expense,2403,6. Cult.Fit - Fitness,Cult.Fit,Fitness
27-02-2023,ACT Fibernet,Expense,1500,10. ACT Fibernet - Internet Service Provider,ACT Fibernet,Internet Service Provider
01-03-2023,Software Engineer,Income,75000,2. Software Engineer - Salary,Software Engineer,Salary
01-03-2023,Dream Apartment,Expense,28000,4. Dream Apartment - Housing,Dream Apartment,Housing
04-03-2023,Website Design,Income,15000,8. Website Design - Technology,Website Design,Technology
06-03-2023,MTR 1924,Expense,3628,15. MTR 1924 - Restaurant,MTR 1924,Food and Drinks
09-03-2023,Electricity Bill,Expense,1500,7. Electricity Bill - Utilities,Electricity Bill,Utilities
14-03-2023,PVR Cinemas,Expense,1025,3. PVR Cinemas - Entertainment,PVR Cinemas,Entertainment
20-03-2023,Reliance Fresh,Expense,3951,16. Reliance Fresh - Grocery Shopping,Reliance Fresh,Grocery Shopping
25-03-2023,ACT Fibernet,Expense,1500,10. ACT Fibernet - Internet Service Provider,ACT Fibernet,Internet Service Provider
26-03-2023,Cult.Fit,Expense,1932,6. Cult.Fit - Fitness,Cult.Fit,Fitness
27-03-2023,Disney+ Hotstar,Expense,800,1. Disney+ Hotstar - Entertainment,Disney+ Hotstar,Entertainment
